Language,Family Name,Notes,Blazon
English,ALDAM,"ALDAM, Kent and Sussex.","Azure, a pile wavy in bend[otherwise issuing bendwise from the dexter chief] or"
English,ALDAM,ALDAM.,"Azure, one ray of the sun issuing bendways from the dexter chief, proper[i.e. blazoned otherwise a pile waved]"
English,ALDEN,ALDEN.,"Or, a bat's wing gules, surmounted of another azure"
English,ALDERBERRY,ALDERBERRY.,"Argent, three bunches of alderberries proper"
English,ALDHAM,ALDHAM.,"Azure, a nine-pointed estoile or"
English,ALDRICH,"ALDRICH, Bp. of Carlisle, 1537-56.","Verte, on a fesse argent between three garbs or, banded gules, two boughs of whitethorn saltier-wise enfiled with a crown proper, between a mound royal azure and a robin redbreast proper, all within a bordure engrailed of the third[pometty ?]"
English,ALEXANDER,"ALEXANDER, Boghall.",Per pale argent and sable a chevron between in chief a writing pen fesswise and in base a crescent counterchanged
English,ALEXANDER,"ALEXANDER, Kinlassie.","Per pale argent and sable, a chevron bruised at the top, and in base a crescent counterchanged"
English,ALEXANDER,ALEXANDER.,"Argent, five barrulets gules, over all a lion rampant crowned and sustaining a battle-axe or"
English,ALEXANDER,Fictitious arms assigned to ALEXANDER the Great.,"Gules, a lion sejant on a chair, and holding in the paws a battle-axe or"
English,ALFORD,"ALFORD, Suffolk.","Argent, a hind's head couped azure collared or, between two hazel-boughs vert fructed or"
English,ALLEN,"ALLEN, Finchley, Middlesex.","Sable, a cross potent or"
English,ALLEN,"ALLEN, Kent.","Or, a fesse wavy, between three talbots questing sable"
English,ALLEN,"ALLEN, London.","Barry of six argent and azure, over all an anchor with two cables fixed to the ring noded and pendent or"
English,ALLEN,"ALLEN, Sheriff of London, 18th deg; Jac. I.","Per fesse gules and sable, a chevron rompu counterchanged"
English,ALLEN,ALLEN.,"Sable, a cross pattee, or"
English,ALLEYNE,"John ALLEYNE, Suffolk.","Per bend sinister fracted[in another MS. double dancetty, and a third MS. rompu] argent and sable six martlets counterchanged"
English,ALLGOOD,"ALLGOOD, Nunwick, Northumberland.","Argent, a cross engrailed gules between four mullets azure, on a chief or three damask roses of the second seeded gold barbed vert"
English,ALLIN,ALLIN.,"Gules, a cinquefoil or"
English,ALLOTT,"ALLOTT, co. York; granted 1729.","Or, a fesse azure between four barrulets wavy of the last: on a canton of the second two barrulets argent, charged with three swallows volant sable, viz. on the first two, second one"
English,ALLYM AUDLYM,ALLYM or AUDLYM.,"Argent, three crabs erect sable"
English,ALLYM,ALLYM.,"Argent, three crabs erect sable"
English,ALMACK,"ALMACK, Suffolk.","Per bend argent and sable, a cross potent counterchanged"
English,ALMEARS ALMEERS,ALMEARS or ALMEERS.,"Argent, a long cross gules on a grice of three steps, the upper one azure, the second as the cross, and the undermost sable"
English,ALMOND,ALMOND.,"Argent, an almond slip fructed proper"
English,ALPIN,ALPIN.,"Or, a fesse between three bulfinches proper"
English,ALPIN,"M'ALPIN, Scotland.","Gules, a royal crown or"
English,ALSACHER,"ALSACHER, Chester.","Azure, three asker's heads couped or"
English,ALSARIN,ALSARIN.,"Azure, an asker's head erased or"
English,ALSTANTON,ALSTANTON.,"Azure, three sea-urchins erect argent[Otherwise Gules, three sea-urchins in pale argent]"
English,ALSTON,"ALSTON, Beds.","Azure, ten estoils, four three, two, one, or"
English,ALTEN,ALTEN.,"Argent, a ragged staff embowed to the sinister gules"
English,ALTHAM,ALTHAM.,Per pale beviled azure and or
English,ALTHOUN,ALTHOUN.,"Gules, on a fesse argent a Roman A"
English,ALVANSTON,ALVANSTON.,"Argent, three crabs erect, gules"
English,ALVERINGE,ALVERINGE.,"Ermine, three wool-cards gules"
English,ALVINGHAM,"Gilbertine Abeey at ALVINGHAM, co. Lincoln.","Argent, three bars gules; over all a crutch[otherwise blazoned crosier] in bend or"
English,ALVINGHAM,"Gilbertine Priory at ALVINGHAM, co. Lincoln.","Argent, three bars gules, over all a crosier in bend, staff argent, head or"
English,AMBROSE,"AMBROSE, Lancashire.","Or, three humets sable, charged with as many annulets argent"
English,AMBROSE,"AMBROSE, Lancaster.","Argent, on three blocks[or billets, or delves, or dice] sable, a mullet to each of the first"
English,AMERY,AMERY.,Barry bendy of six argent and gules
English,AMOCK,AMOCK.,"Ermine, a chevron couped gules"
English,AMOS AMES,AMOS or AMES.,"Potent counter potent, gules and argent, a chevron or"
English,ANCHILECK,"ANCHILECK, Scotland.","Argent, three closets sable"
English,ANDERSON,ANDERSON.,"Vert, three stags lodged argent, attired or, and langued gules"
English,ANDERTON,"ANDERTON, Chesh. and Lanc. [also blazoned three double shack-bolts].","Sable, two single shack-bolts and one double one argent"
English,ANDERTON,"ANDERTON, Lancaster.","Sable, six annulets braced palewise in pairs argent two and one"
English,ANDERTON,"ANDERTON, co. Lancaster.","Sable, three chains each of four links palewise argent"
English,ANDERTON,"ANDERTON, co. Lancaster.","Vert, three hour-glasses in bend proper between two bendlets argent"
English,ANDESLY,ANDESLY.,"Argent, two lion's gambes erased in saltire gules; on a canton of the second three purses or"
English,ANDREW,Burgh of S.ANDREW'S Scotland.,"Azure, the Apostle S.Andrew proper surrounded with a radiation or, vested of the field, tied to his cross, argent; in base a boar of the last tied to a tree of the second"
English,ANDREWES,"Lancelot ANDREWES, Bp. of Chichester, 1605; of Ely, 1609; afterwards of Winchester, 1619-1626.","Argent, on a bend engrailed, cotised plain sable three mullets or"
English,ANGOULEME,"Isabel, daughter of Aylmer, Earl of ANGOULEME, and wife of King John.",Bendy lozengy or and gules
English,ANGUISH,ANGUISH.,"Argent, five palets couped at the top, wrapped with osiers in fesse gules, fretty in base with a serpent vert; in chief three roses"
English,ANHAULT,ANHAULT.,"Argent, a wine-press gules"
English,ANKETEL,"ANKETEL, Co. Monagham.","Or, a cross raguly vert"
English,ANLETT,ANLETT.,"Azure, three annulets argent, [of another branch or]"
English,ANSTIS,"ANSTIS, Cornwall.","Argent, a cross raguly gules between four swallows[otherwise 'birds'] azure legged of the second"
English,ANTHONY,"Friary of S.ANTHONY, London.","Or, a cross tau azure"
English,ANTICK,ANTICK.,"Vert, a parrot, wings disclosed, holding up the left foot or"
English,ANTILUPE,ANTILUPE.,"Argent, an heraldic antelope gules, tusked, horned, maned and hoofed or"
English,ANVAILE ANVIL,ANVAILE or ANVIL.,"Gules, a smith's anvil argent"
English,ANVINE,ANVINE.,"Argent, three playing tops sable, two and one"
English,ANWICKE,ANWICKE.,"Argent, a holy cross sable"
English,APILBY,"APILBY, co. Salop.","Azure, six seagulls, three, two, and one argent, the dexter wing displayed, the sinister close"
English,APJOHN,"APJOHN, Surrey.","Sable, a fesse or between three children's heads couped at the shoulders proper; about each neck a snake vert"
English,APOTHECARIES,APOTHECARIES' Company[inc. 1617].,"Azure, Apollo proper with the head radiant, holding in the left hand a bow, and in the right hand an arrow or, supplanting[or bestriding] a serpent argent"
English,APPELTON,APPELTON.,"Argent, a fesse sable, between three apples gules stalked vert"
English,APPLEDORE,APPLEDORE.,"Gules, a fesse nebuly argent"
English,APPLEGH,APPLEGH.,"Vert, an ape sejant holding up the paw braced round the middle, and chained to the sinister side of the escutcheon argent"
English,APPLOCK,APPLOCK.,"Argent, an oak branch with three[oak] apples proper"
English,APPURLEY,APPURLEY.,"Argent, a chevron between three pine cones slipped erect gules"
English,APRICE,"APRICE, Wales.","Sable, a cross potence argent"
English,APULBY,APULBY.,"Argent, on a bend sable, three apples slipped or"
English,ARABIN,ARABIN.,"Or, three vine leaves vert"
English,ARBUTT,ARBUTT.,"Gules, three flooks[or flounders] argent"
English,ARCHARD,ARCHARD.,"Argent, five fusils in cross"
English,ARCHBY,"ARCHBY,","Purpure, a bend champaine argent"
English,ARCHDALL,"ARCHDALL, Ireland.","Argent, a pale pointed in base gules between two cinquefoils of the second"
English,ARCHDEACON MS,"ARCHDEACON, Harl. MS. 5866.","Ermine, a cross voided sable"
English,ARCHES MS,ARCHES[Harl. MS. 613].,"Gules, three arches conjoined in fess argent; caps and bases or"
English,ARCHES,"ARCHES, co. Devon.","Gules, three door-arches argent, capitals and pedestals or[another the arches also or]"
English,ARCHES,ARCHES.,"Gules, three arches, two single in chief, and one double in base argent, the imposts or"
English,ARCHEVER,"ARCHEVER, Scotland.","Purpure, a chevron inarched argent"
English,ARGANOR,ARGANOR.,"Sable, a chevalier in full armour with halbert proper"
English,ARGENTINE,M. Gilis D'ARGENTINE.,"Gules, three cups covered argent garnished or"
English,ARGENTON,"ARGENTON, Devon.","Gules, three college-pots argent"
English,ARGENTYNE,ARGENTYNE.,"Gules, three lily-pots[? covered cups] argent"
English,ARGYLL,"See of ARGYLL, Scotland.","Azure, two crosiers endorsed in saltire or; in chief a mitre of the last"
English,ARKWRIGHT,"ARKWRIGHT, Derby.","Argent, on a mount vert, a cotton-tree fructed proper, on a chief azure between two bezants an inescutcheon of the field charged with a bee volant proper"
English,ARLOTT,ARLOTT.,"Gules, on a leopard passant guardant or spots sable"
English,ARMIGER,"ARMIGER, Norfolk.","Azure, two bars argent between three close helmets or"
English,ARMOURER,ARMOURER.,"Barry of four, counter escallopped argent and gules, each scale nailed sable"
English,ARMOURERS HEN VI,"Company of ARMOURERS, incorporated temp. HEN. VI.","Azure, on a chevron sable, a gauntlet of the first between two pairs of swords in saltire of the last, hilts and pommels or; on a chief of the second, an oval shield of the field charged with a cross gules encircled with a carved shield of the third, between two peer's helmets proper garnished gold"
English,ARMSTRONG,"ARMSTRONG, Ballycumber.","Gules, three dexter arms braced[i.e. vambraced] argent, hands proper"
English,ARMSTRONG,"ARMSTRONG, Scotland.","Argent, an arm proper, habited gules, issuing out from the side of the escutcheon and holding the lower part of a broken tree eradicated vert, the top leaning to the dexter angle"
English,ARMSTRONG,ARMSTRONG.,"Gules, three dexter arms vambraced argent, hands proper"
English,ARMSTRONG,ARMSTRONG.,"Sable, three dexter arms conjoined at the shoulder, and fixed in triangle, vested or, cuffed argent, the fists clenched, proper"
English,ARNALT,ARNALT.,"Gules, on a mount vert a stork in train aspect to the sinister argent"
English,ARNEEL,"ARNEEL, Scotland.","Argent, two eels hauriant confronty vert between two etoiles gules"
English,ARNEEL,"ARNEEL, Scotland.","Argent, two eels paleways waved, between two stars in the flanks azure"
English,ARNULF,ARNULF.,"Azure, an anvil or"
English,ARROWOOD,"ARROWOOD, Lancashire.","Argent, three hares[elsewhere conies] courant in pale azure"
English,ARTHUR,Sir Thomas ARTHUR.,"Gules, a chevron argent between three rests or"
English,ARTHURE,"ARTHURE, Ireland.","Gules, a chevron between three brogues or"
English,ARUNDEL,"ARUNDEL, Wardour, Wilts.","Sable, six swallows[fr. hirondelles], 3, 2, 1, argent"
English,ARUNDEL,Family of ARUNDEL of Wardour.,"Sable, six swallows 3, 2, 1, argent"
English,ARUNDEL,"John ARUNDEL, Bp. of Lichfield, 1496; of Exeter, 1502-4.","Sable, six swallows in pile argent"
English,ARUNDEL,"Town of ARUNDEL, Sussex.","Argent, a swallow volant in bend sinister sable"
English,ARWELL,"ARWELL, Scotland.","Argent, two serpents nowed and linked together in pale between two stars gules"
English,ASBITTER,ASBITTER.,"Sable, a bittern argent"
English,ASCHAW,ASCHAW.,"Argent, a mole-hill in base sable"
English,ASDALE,Thomas ASDALE.,"Gules, a cygnet argent"
English,ASHBURNHAM,"Sir William ASHBURNHAM, Bp. of Chichester, 1754-97.","Gules, a fesse between six mullets argent; a canton of Ulster"
English,ASHBY,ASHBY.,"Gules, semy of nails argent, three stems of a flower vert"
English,ASHBY,ASHBY.,"Gules, semy of nails, argent, three stems of a flower vert"
English,ASHE,ASHE.,"Azure, three mews argent beaked and membered gules"
English,ASHENHURST,"ASHENHURST, Derby.","Or, a cockatrice, the tail nowed with a serpent's head sable, comb, wattles, and head gules; in the beak a trefoil vert"
English,ASHFIELD,ASHFIELD.,"Or, on a mount vert, a Magellan-goose sable, head argent"
English,ASHFORD,"ASHFORD, Cornwall.","Argent, a chevron between three branches of ashen keys vert"
English,ASHFORD,"ASHFORD, Devon.","Argent, three ashen keys vert between two couple-closes sable"
English,ASHFORD,ASHFORD.,"Argent, between two chevrons sable three pines[i.e. pine cones] pendent vert"
English,ASHLEY,"ASHLEY, London.","Gules, three woolsacks argent[in chief a mullet or]"
English,ASHLEY,ASHLEY.,"Azure, a cinquefoil ermine pierced of the field"
English,ASHLIN,ASHLIN.,"Or, three double scaling-ladders sable"
English,ASHPOOLE,ASHPOOLE.,"Per fesse gules and argent, three Egyptian's heads counterchanged"
English,ASHRIDGE,"Augustinian College of ASHRIDGE, co. Buckingham.","Gules, on an alter-tomb a lamb passant guardant argent carrying a banner of the last charged with a cross of the first, resting the dexter forefoot on a mound or"
English,ASHTON,"ASHTON, Cornwall.","Argent, an ash-tree proper issuing from the bung of a tun"
English,ASHTON,"ASHTON, co. Lancaster.","Argent, on a mullet sable an annulet or"
English,ASHTON,ASHTON.,"Argent, a mullet sable, charged on one point[?] with a bezant"
English,ASHTON,ASHTON.,"Argent, a horse passant gules holding in the mouth an oak sprig vert, acorns or"
English,ASHTON,ASHTON.,"Argent, a rose and thistle conjoined paleways proper"
English,ASKERTON,ASKERTON.,"Or, a trefoil double slipped raguly proper[i.e. vert]"
English,ASKEWE,ASKEWE.,"Argent, a fesse between three asses passant sable"
English,ASKHAM,"Sir William ASKHAM, Lord Mayor of London, 1404.","Gules, a fesse or between three dolphins embowed argent"
English,ASLYN MS,"ASLYN, Harl. MS. 1386.","Or, a chevron embattled at the top gules"
English,ASPENDALL,ASPENDALL.,"Vert, three asps in pale or"
English,ASPINALL,ASPINALL.,"Argent, an aspen leaf proper"
English,ASSIL,ASSIL.,"Sable, an ass argent"
English,ASTELL,"ASTELL, Leicester.","Gules, crusily and a lion passant gardant or, a canton argent, charged with an eagle displayed sable, on the breast an escucheon gold charged with three bars azure"
English,ASTON,"ASTON, co. Lancashire. [An example of the colour being uppermost and the metal below, contrary to the usual practice.]","Party per chevron, sable and argent"
English,ASTON,ASTON.-The arms within a cordon.,"Argent, a bend engrailed sable--RADCLIFFE; and sable a saltire argent"
English,ASTROLL,ASTROLL.,"Az, an astrolabe or"
English,AT CONDUIT,"Reginald AT CONDUIT, Lord Mayor of London, 1334-5.","Gules, three cups covered, with one handle to each, argent"
English,ATCOMB,"ATCOMB, Devon.","Sable, three marlion's sinister wings displayed argent"
English,ATHERTON,ATHERTON. [Noted by Glover as a quartering.],"Argent, a horse passant, bay colour, holding in his mouth a tulip slipped proper"
English,ATHERTON,ATHERTON.,"Argent, a horse[bay colour] passant, holding in his mouth a tulip slipped proper"
English,ATHESON BOWCEGAULT BROWNE,"ATHESON, Scotland; BOWCEGAULT, Brin, co. Chester; BROWNE, Ireland, andc.","Argent, an eagle displayed double-headed sable"
English,ATHOWE ATLOWE,"ATHOWE, or ATLOWE.","Argent, a chevron between three carpenter's squares, points dexter sable"
English,ATHUL,ATHUL.,"Argent, three cups of acorns, azure"
English,ATHULL,ATHULL.,"Argent, three cups azure"
English,ATKINS,"ATKINS, co. Cork.","Argent, a cross cottised with eight demi-fleurs-de-lis, their bottoms towards the fesse-point, sable, between four mullets pierced of the last"
English,ATSEA,ATSEA.,"Gules, on three bars wavy or, as many shrimps of the field, [otherwise barry wavy of six argent and gules, three shrimps or]"
English,ATSEA,ATSEA.,"Or, two bars wavy between three shrimps in pale gules, [otherwise 'Or, on two bars gules as many shrimps naiant argent']"
English,ATTERBURY,"Francis ATTERBURY, Bp. of Rochester, 1713-23.",Paly of six or and gules; a chief vair
English,ATTON,ATTON.,"Or, a bat volant gules; a rere-mouse vert"
English,ATTWATER,"William ATTWATER, Bishop of Lincoln, 1514-21; granted 1509.","Barry wavy of six ermine and gules, a chevron between three shrimps[otherwise prawns] or, charged with a rose of the second barbed vert seeded gold between two lilies in line with the chevron slipped vert"
English,ATTWOOD,ATTWOOD.,"Argent, a greyhound skipping in bend sable"
English,ATWATER,ATWATER.,"Barry wavy of six argent and gules, six crevices or two and one"
English,ATWELL MS,"ATWELL, co. York; Harl. MS. 1465.","Argent, a chevron sable and pile counterchanged"
English,AUBERNOUN,"D'AUBERNOUN, Surrey.","Azure, a chevron or"
English,AUBERT,AUBERT.,"Per pale azure and gules, a tilting-spear in pale proper surmounted by a hauberk[or coat of mail] or"
English,AUCHMUTY,AUCHMUTY.,"Argent, two spur-rowels in chief pierced of the field, and a spear's head in base azure"
English,AUDICE,AUDICE.,"Argent, three hind's ears gules"
English,AUDYN,"AUDYN, Dorchester.","Argent, on a cross gules five lioncels rampant or"
English,AUKES,AUKES.,"Or, the head of an auk proper"
English,AULD,"AULD, Scotland.","Gules, a bar engrailed argent between three suns or; in the collar point a demi-salmon naiant from the fesse, of the second"
English,AULES,AULES.,"Azure, a chevron between three awls, points reversed argent, hafts or"
English,AUNCEY,AUNCEY.,"Quarterly, per fesse wavy or and gules, a bend counterchanged"
English,AUNTESHEYE,Sire Richard de AUNTESHEYE.,Per pale or and argent barruly wavy gules
English,AURIOL,"AURIOL, London.","Argent, on a mount vert a tree of the last with two bird's nests pendent by strings gules"
English,AWBORN,AWBORN.,"Azure, a pillar erect between two angel's wings, elevated or"
English,AXALL,AXALL.,"Gules, three axes argent"
English,AXTELL,"AXTELL, Devon.","Azure, three axes argent, handles or"
English,AYER,AYER.,"Or, a lighter-boat in fesse gules, [in one blazoning, a lighter vessel without masts]--DE WOLFO, Swevland. Azure, three barks or"
English,AYLIFF,"AYLIFF, co. Wilts.","Argent, on a chevron engrailed sable, between three estoiles gules streaming on the dexter side downwards in bend or, three buck's faces of the first"
English,AYLMER,"John AYLMER[Bp. of London, 1577].","Argent, a cross sable between four sea aylets of the second, beaked and membered gules"
English,AYLOFT,AYLOFT.,"Argent, a fesse between three hens sable"
English,AYNESWORTH,AYNESWORTH.,"Azure, three spades argent within a bordure or"
English,AYR,"Burgh of AYR, Scotland.","Gules, a castle triple towered argent, between a holy lamb passant with cross-staff and banner of S.Andrew on the dexter, and the head of S.John the Baptist in a charger on the sinister, both proper; in base the sea of the last"
English,AYSCOUGH,"AYSCOUGH, Bp. of Salisbury, 1438-50.","Sable, a fesse between three asses passant argent"
English,BABINGTON,"Gervais BABINGTON, Bp. of Llandaff, 1591; Exeter, 1595; Worcester, 1597-1610.","Azure, ten torteaux in pile; a pile of three points azure"
English,BACK,BACK.,"Argent, an eagle recursant wings overture sable"
English,BACK,BACK.,"Per saltire argent and gules, a lion rampant gardant or, on a chief wavy azure a wool-pack of the first between two bezants"
English,BACON,"BACON, co. Suffolk.","Gules, three trefoils pierced argent"
English,BADGER,BADGER.,"Or, a badger passant sable"
English,BADLAND,BADLAND.,"Argent, three spindles in fesse threaded or"
English,BAGGSHAM,BAGGSHAM.,"Gules, three quarrels argent"
English,BAIN,"BAIN, Berwick.","Azure, a wheatsheaf between three thistles or, all within a bordure of the last"
English,BAINBRIDGE,BAINBRIDGE.,"Azure, three battle-axes or, staves argent"
English,BAINES,"BAINES, York.","Sable, two shank-bones in cross, that in pale surmounting the one in fesse argent"
English,BAKER,"BAKER, Bp. of Bangor, 1723; Norwich, 1727-33.","Argent, on a fesse gules three falcon's heads of the field"
English,BAKER,BAKER.,"Argent, on a fesse engrailed sable, fimbriated or, between two greyhounds courant of the second, three fleur-de-lys of the third"
English,BAKER,BAKER.,"Gules, a goat statant argent, armed and crined or, between three saltires of the last[elsewhere attired or]"
English,BALDBERNEY,"BALDBERNEY, Scotland.","Vert, a bar counter compony argent and azure between three cuirasses of the second; on a chief silver as many buckles of the third"
English,BALL,"BALL, Devon[but it is also blazoned elsewhere as between three balls sable with four tassels].","Argent, a chevron between three fire-balls sable fired in four places"
English,BALL,"BALL, Norfolk.","Ermine, a lion rampant sable between in chief two torteaux, and in base a hand grenade exploding proper"
English,BALL,"BALL, co. Chester.","Argent, a fire-ball proper held in the dexter paw of a lion rampant sable"
English,BALLENDEN,BALLENDEN.,"Gules, a goat's head couped or"
English,BALM,BALM.,"Argent, three sprigs of balm flowered proper"
English,BALMAKIN,"BALMAKIN, Scotland.","Argent, three spikes gules, closing towards the points in base"
English,BALMANNO,BALMANNO.,"Argent, a cross embattled sable"
English,BALSWILL,BALSWILL.,"Azure, an increscent[i.e. a moon increscent] or"
English,BALUN,John BALUN.,"Barry indented, argent and gules"
English,BANASTER II,"Sir Thomas BANASTER, K.G., ob. 2nd deg; Ric. II. [as depicted upon his stall-plate at Windsor, elsewhere blazoned, Argent, a cross patty pointed sable].","Argent, a cross clechee sable"
English,BANBURY,Town of BANBURY.,"Azure, a sun in splendour or"
English,BAND,"BAND, co. Worcester.","Gules, three eagle's legs a la quise or"
English,BANE PYPARD,BANE; also PYPARD.,"Per saltire, argent and azure"
English,BANESTER,"BANESTER, Darwyn, co. Lancaster.","Sable, two dossers suspended by an annulet argent; on a chief gules three fleurs-de-lis or"
English,BANESTER,BANESTER.,"Argent, a cross moline saltirewise"
English,BANESTER,"Sir Thomas BANESTER, K.G.","Argent, a cross of four fusils sable"
English,BANESTER,"Sir Thomas BANESTER, K.G.","Argent, four fusils in cross sable"
English,BANFF,"Burgh of BANFF, Scotland.","Gules, the Virgin Mary holding the child Jesus in her arms or"
English,BANGOR,See and City of BANGOR.,"Gules, a bend or guttee de poix, between two mullets argent pierced of the field"
English,BANISTER,BANISTER.,"Argent, two buckets suspended by an annulet saltirewise sable between three fleurs-de-lis gules"
English,BANNERMANN,"BANNERMANN, Elsick.","Quarterly, first and fourth gules, a banner displayed argent; thereon a canton azure charged with a S.Andrew's cross of the second; second and third or, a cross moline azure within a bordure engrailed argent"
English,BANNERTON,"BANNERTON, Salop.","Or, a fesse between three lions rampant gules"
English,BANNISTER,BANNISTER.,"Argent, an annulet suspending two buckets saltire-wise sable between three fleurs-de-lys gules"
English,BAPTIST WHITE,"S.John BAPTIST'S College, Oxford[founded by Sir Thomas WHITE, 1557].","Gules, on a bordure sable eight estoiles or; on a canton ermine a lion rampant of the second; in fesse point an annulet of the third for difference"
English,BARBERS,"BARBERS' Company, London, [Barbers' Company incorporated, 1461: then Barbers and Surgeons united, 1540; conferred, 1630; union dissolved, 1745].","Quarterly first and fourth sable, a chevron between three flemes argent[i.e. arms granted 1452], second and third per pale argent and vert, a spatula in pale argent surmounted of a rose gules charged with another of the first, the first rose regally crowned proper; between the four quarters a cross of S.George gules, charged with a lion passant gardant or"
English,BARCLAY,"BARCLAY, Devon.","Argent, a triangular trivet sable"
English,BARDEN,BARDEN.,"Argent, three swords conjoined in point[in pile would be better] gules"
English,BARDIS,"[From old glass in Thame Church, impaled after the arms of Hadrian de BARDIS, Prebendary of Thame.]","Argent, a tiger statant reguardant, looking down into a mirror in base, handle to the dexter all proper"
English,BARDNEY,"Benedictine Abbey, BARDNEY, co. Lincoln.","Sable, an annulet environing a crosier, the foot enwrapped by a snake; in chief two coronets argent"
